unit,base,witness,reading,tier,major,minor
214,σκυθρωποι,24,ανθροπωι,substantive,substantive,lexical-substitution
215,αποκριθεις,21,ακοπριθεις,mechanical,mechanical,metathesis
215,αποκριθεις,24,απεκριθεις,mechanical,mechanical,single-letter-slip
220,κλεοπας,24,κλεοτιας,mechanical,mechanical,minor-corruption
223,αυτον,31,αυτου,mechanical,mechanical,single-letter-slip
224,συ,24,δε,mechanical,mechanical,minor-corruption
227,ιερουσαλημ·,12,ιερουσαλημ,mechanical,mechanical,single-letter-slip
227,ιερουσαλημ·,24,ιερυσαλημη,mechanical,mechanical,minor-corruption
232,εν,12,[om],substantive,substantive,omission
232,εν,24,[om],substantive,substantive,omission
233,αυτη,12,εναυτη,substantive,substantive,lexical-substitution
233,αυτη,24,εναυτη,substantive,substantive,lexical-substitution
237,ταυταις·,24,ταυταις,mechanical,mechanical,single-letter-slip
237,ταυταις·,31,ταυταις,mechanical,mechanical,single-letter-slip
247,ναζωραιου,24,υνζωρατων,substantive,substantive,lexical-substitution
255,και,24,[om],substantive,substantive,omission
256,εργω,24,[om],substantive,substantive,omission
257,ενωπιον,24,[om],substantive,substantive,omission
258,θυ,24,[om],substantive,substantive,omission
265,παρεδωκαν,24,παρεδοκαν,orthographic,orthographic,vowel-interchange
267,αρχιερεις,24,αρχερεις,mechanical,mechanical,single-letter-slip
271,ημων,24,υμων,orthographic,orthographic,vowel-interchange
274,θανατου,12,θανατον,mechanical,mechanical,single-letter-slip
275,και,24,[om],substantive,substantive,omission
276,εσταυρωσαν,31,εσαυρωσαν,mechanical,mechanical,single-letter-slip
280,ηλπιζομεν,12,ηλτιζομεν,mechanical,mechanical,single-letter-slip
280,ηλπιζομεν,24,[om],substantive,substantive,omission
281,οτι,24,ηλτιζομενοτι,substantive,substantive,lexical-substitution
285,μελλων,24,μελλω,orthographic,orthographic,movable-nu
286,λυτρουσθαι,24,λυοτρουσθαι,mechanical,mechanical,single-letter-slip
299,αφ,24,[om],substantive,substantive,omission
302,γεγονεν·,24,γεγονεν,mechanical,mechanical,single-letter-slip
307,εξεστησαν,24,εξεστησας,mechanical,mechanical,single-letter-slip
313,μνημειον,24,μνημεtον,mechanical,mechanical,single-letter-slip
321,λεγουσαι,24,λεγουσαν,mechanical,mechanical,single-letter-slip
